"CCLE_ID","depMapID","Name","Pathology","Site_Primary","Histology","Gender","Age","Site_Of_Finding","tcga_code"
"NCIH28_PLEURA","ACH-000648","NCI-H28","metastasis","pleura","mesothelioma","male","48","pleura","MESO"
"OV56_OVARY","ACH-000091","OV56","primary","ovary","carcinoma","female","46","","OV"
"JHOS4_OVARY","ACH-000584","JHOS-4","primary","ovary","carcinoma","female","44","","OV"
"KYSE450_OESOPHAGUS","ACH-000865","KYSE-450","primary","oesophagus","carcinoma","male","59","","ESCA"
"RMUGS_OVARY","ACH-000701","RMUG-S","primary","ovary","carcinoma","female","62","","OV"
"KLE_ENDOMETRIUM","ACH-000293","KLE","primary","endometrium","carcinoma","female","64","","UCEC"
"HS895T_FIBROBLAST","ACH-000043","Hs 895.T","metastasis","skin","malignant_melanoma","female","48","lung","SKCM"
"LN229_CENTRAL_NERVOUS_SYSTEM","ACH-000595","LN-229","primary","central_nervous_system","glioma","female","60","","GBM"
"P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000770","P31/FUJ","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","male","missing info","","LAML"
"RKN_SOFT_TISSUE","ACH-000505","RKN","primary","soft_tissue","leiomyosarcoma","female","45","","SARC"
"PATU8988S_PANCREAS","ACH-000022","PA-TU-8988S","metastasis","pancreas","carcinoma","female","64","liver","PAAD"
"NH6_AUTONOMIC_GANGLIA","ACH-000203","NH-6","primary","autonomic_ganglia","neuroblastoma","female","0.75","","NB"
"SF126_CENTRAL_NERVOUS_SYSTEM","ACH-000609","SF126","primary","central_nervous_system","glioma","","missing info","","GBM"
"RERFLCAD2_LUNG","ACH-000774","RERF-LC-Ad2","primary","lung","carcinoma","male","missing info","","LUAD"
"OUMS23_LARGE_INTESTINE","ACH-000296","OUMS-23","primary","large_intestine","carcinoma","","missing info","","COAD/READ"
"SNGM_ENDOMETRIUM","ACH-000974","SNG-M","metastasis","endometrium","carcinoma","female","52","lymph_node","UCEC"
"NCIH2347_LUNG","ACH-000875","NCI-H2347","primary","lung","carcinoma","female","54","","LUAD"
"SW1990_PANCREAS","ACH-000155","SW 1990","primary","pancreas","carcinoma","male","56","","PAAD"
"HS940T_FIBROBLAST","ACH-000135","Hs 940.T","primary","skin","malignant_melanoma","male","57","","SKCM"
"HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000069","Hs 611.T","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","48","","missing info"
"TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000285","Toledo","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","missing info","","DLBC"
"RERFGC1B_STOMACH","ACH-000144","RERF-GC-1B","metastasis","stomach","carcinoma","male","41","lymph_node","STAD"
"HT1080_SOFT_TISSUE","ACH-000054","HT-1080","metastasis","soft_tissue","fibrosarcoma","male","35","acetabulum","SARC"
"NCIH2087_LUNG","ACH-000841","NCI-H2087","metastasis","lung","carcinoma","male","69","lymph_node","LUAD"
"COV318_OVARY","ACH-000256","COV318","primary","ovary","carcinoma","female","missing info","","OV"
"NCIH2085_LUNG","ACH-000451","NCI-H2085","primary","lung","carcinoma","male","45","","LUAD"
"NCIH510_LUNG","ACH-000871","NCI-H510","primary","lung","carcinoma","male","56","","SCLC"
"CAKI1_KIDNEY","ACH-000433","Caki-1","metastasis","kidney","carcinoma","male","49","skin","KIRC"
"NCIH716_LARGE_INTESTINE","ACH-000491","NCI-H716","metastasis","large_intestine","carcinoma","male","33","ascites","COAD/READ"
"NCIH2066_LUNG","ACH-000727","NCI-H2066","primary","lung","carcinoma","female","70","","SCLC"
"NCIH1341_LUNG","ACH-000129","NCI-H1341","metastasis","lung","carcinoma","female","missing info","cervix","SCLC"
"NCIH2029_LUNG","ACH-000298","NCI-H2029","metastasis","lung","carcinoma","female","69","lymph_node","SCLC"
"SW480_LARGE_INTESTINE","ACH-000842","SW480","primary","large_intestine","carcinoma","male","50","","COAD/READ"
"HS746T_STOMACH","ACH-000616","Hs 746T","metastasis","stomach","carcinoma","male","74","muscle","STAD"
"LU65_LUNG","ACH-000438","LU65","primary","lung","carcinoma","male","64","","missing info"
"HS739T_FIBROBLAST","ACH-000413","Hs 739.T","primary","breast","carcinoma","female","52","","missing info"
"SNUC2A_LARGE_INTESTINE","ACH-000967","SNU-C2A","primary","large_intestine","carcinoma","female","43","","COAD/READ"
"HEC151_ENDOMETRIUM","ACH-000972","HEC-151","primary","endometrium","carcinoma","female","missing info","","UCEC"
"MSTO211H_PLEURA","ACH-000335","MSTO-211H","metastasis","pleura","mesothelioma","male","62","pleura","MESO"
"RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000654","Raji","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","12","","DLBC"
"SKMEL1_SKIN","ACH-000465","SK-MEL-1","metastasis","skin","malignant_melanoma","male","29","lymph_node","SKCM"
"SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000953","SUP-T1","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","8","pleura","ALL"
"JHH7_LIVER","ACH-000848","JHH-7","primary","liver","carcinoma","male","53","","LIHC"
"HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000612","HuT 102","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","26","","missing info"
"HCC38_BREAST","ACH-000276","HCC38","primary","breast","carcinoma","female","50","","BRCA"
"DU4475_BREAST","ACH-000258","DU4475","metastasis","breast","carcinoma","female","62","breast","BRCA"
"NCIH1573_LUNG","ACH-000916","NCI-H1573","metastasis","lung","carcinoma","female","35","soft_tissue","LUAD"
"NCIH508_LARGE_INTESTINE","ACH-000360","NCI-H508","metastasis","large_intestine","carcinoma","male","55","abdominal_wall","COAD/READ"
"NCIH1651_LUNG","ACH-000893","NCI-H1651","primary","lung","carcinoma","male","71","","LUAD"
"SKUT1_SOFT_TISSUE","ACH-000939","SK-UT-1","primary","soft_tissue","leiomyosarcoma","female","75","","SARC"
"MDAMB175VII_BREAST","ACH-000759","MDA-MB-175-VII","metastasis","breast","carcinoma","female","56","pleura","BRCA"
"SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000059","SUP-B15","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","9","","ALL"
"NCIH226_LUNG","ACH-000367","NCI-H226","metastasis","lung","carcinoma","male","missing info","pleura","LUSC"
"NCIH1666_LUNG","ACH-000448","NCI-H1666","metastasis","lung","carcinoma","female","50","pleura","LUAD"
"SW1783_CENTRAL_NERVOUS_SYSTEM","ACH-000883","SW 1783","primary","central_nervous_system","glioma","male","68","","LGG"
"ISTMES1_PLEURA","ACH-000569","IST-MES1","primary","pleura","mesothelioma","female","70","","MESO"
"NCIH1734_LUNG","ACH-000675","NCI-H1734","primary","lung","carcinoma","female","56","","LUAD"
"NCIH2342_LUNG","ACH-000951","NCI-H2342","primary","lung","carcinoma","male","55","","LUAD"
"EBC1_LUNG","ACH-000563","EBC-1","primary","lung","carcinoma","male","69","","LUSC"
"HS936T_SKIN","ACH-000801","Hs 936.T","primary","skin","malignant_melanoma","male","missing info","","SKCM"
"T173_FIBROBLAST","ACH-000529","T1-73","primary","bone","osteosarcoma","","missing info","","SARC"
"NCIH322_LUNG","ACH-000837","NCI-H322","primary","lung","carcinoma","male","52","","LUAD"
"HS618T_FIBROBLAST","ACH-000539","Hs 618.T","primary","lung","carcinoma","female","60","","LUAD"
"HS870T_FIBROBLAST","ACH-000340","Hs 870.T","primary","bone","osteosarcoma","","missing info","","SARC"
"HS706T_BONE","ACH-000071","Hs 706.T","primary","bone","giant_cell_tumour","female","16","","missing info"
"PANC1_PANCREAS","ACH-000164","PANC-1","primary","pancreas","carcinoma","male","56","","PAAD"
"NCIH2291_LUNG","ACH-000718","NCI-H2291","metastasis","lung","carcinoma","male","missing info","lymph_node","LUAD"
"T47D_BREAST","ACH-000147","T-47D","metastasis","breast","carcinoma","female","54","pleura","BRCA"
"HS742T_FIBROBLAST","ACH-000230","Hs 742.T","primary","breast","carcinoma","female","71","","missing info"
"BICR56_UPPER_AERODIGESTIVE_TRACT","ACH-000771","BICR 56","primary","upper_aerodigestive_tract","carcinoma","female","missing info","","HNSC"
"BICR16_UPPER_AERODIGESTIVE_TRACT","ACH-000503","BICR 16","primary","upper_aerodigestive_tract","carcinoma","male","missing info","","HNSC"
"TE10_OESOPHAGUS","ACH-000318","TE-10","primary","oesophagus","carcinoma","","missing info","","ESCA"
"SKMEL28_SKIN","ACH-000615","SK-MEL-28","primary","skin","malignant_melanoma","male","51","","SKCM"
"BICR6_UPPER_AERODIGESTIVE_TRACT","ACH-000415","BICR 6","primary","upper_aerodigestive_tract","carcinoma","male","missing info","","HNSC"
"BHY_UPPER_AERODIGESTIVE_TRACT","ACH-000548","BHY","primary","upper_aerodigestive_tract","carcinoma","male","52","","HNSC"
"SH4_SKIN","ACH-000441","SH-4","metastasis","skin","malignant_melanoma","female","60","pleura","SKCM"
"KPL1_BREAST","ACH-000028","KPL-1","metastasis","breast","carcinoma","female","50","pleura","BRCA"
"TUHR4TKB_KIDNEY","ACH-000495","TUHR4TKB","primary","kidney","carcinoma","","missing info","","KIRC"
"LS123_LARGE_INTESTINE","ACH-000501","LS123","primary","large_intestine","carcinoma","female","65","","COAD/READ"
"HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000004","HEL","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","male","30","","LAML"
"HPAC_PANCREAS","ACH-000270","HPAC","primary","pancreas","carcinoma","female","64","","PAAD"
"RCC10RGB_KIDNEY","ACH-000189","RCC10RGB","primary","kidney","carcinoma","male","missing info","","KIRC"
"JHOM1_OVARY","ACH-000237","JHOM-1","primary","ovary","carcinoma","female","missing info","","OV"
"SU8686_PANCREAS","ACH-000114","SU.86.86","primary","pancreas","carcinoma","female","57","","PAAD"
"HCC33_LUNG","ACH-000515","HCC-33","metastasis","lung","carcinoma","male","52","pleura","SCLC"
"TE6_OESOPHAGUS","ACH-000605","TE-6","primary","oesophagus","carcinoma","","missing info","","ESCA"
"JHOC5_OVARY","ACH-000324","JHOC-5","primary","ovary","carcinoma","female","missing info","","OV"
"ACCMESO1_PLEURA","ACH-000086","ACC-MESO-1","metastasis","pleura","mesothelioma","","missing info","pleura","MESO"
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000245","BL-41","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","8","","DLBC"
"SNU1214_UPPER_AERODIGESTIVE_TRACT","ACH-000715","SNU-1214","primary","upper_aerodigestive_tract","carcinoma","male","55","","HNSC"
"CORL105_LUNG","ACH-000161","COR-L105","primary","lung","carcinoma","male","missing info","","LUAD"
"LMSU_STOMACH","ACH-000255","LMSU","metastasis","stomach","carcinoma","","missing info","lymph_node","STAD"
"SNU1197_LARGE_INTESTINE","ACH-000412","SNU-1197","primary","large_intestine","carcinoma","male","70","","COAD/READ"
"COLO668_LUNG","ACH-000803","COLO 668","metastasis","lung","carcinoma","female","47","brain","SCLC"
"OSRC2_KIDNEY","ACH-000159","OS-RC-2","primary","kidney","carcinoma","male","missing info","","KIRC"
"HUH6_LIVER","ACH-000671","HuH-6","primary","liver","other","male","missing info","","LIHC"
"PANC0203_PANCREAS","ACH-000042","Panc 02.03","primary","pancreas","carcinoma","female","70","","PAAD"
"CJM_SKIN","ACH-000458","CJM","metastasis","skin","malignant_melanoma","","missing info","NS","SKCM"
"BICR22_UPPER_AERODIGESTIVE_TRACT","ACH-000794","BICR 22","metastasis","upper_aerodigestive_tract","carcinoma","male","missing info","","HNSC"
"TM31_CENTRAL_NERVOUS_SYSTEM","ACH-000592","TM-31","primary","central_nervous_system","glioma","","missing info","","missing info"
"SNU1272_KIDNEY","ACH-000513","SNU-1272","primary","kidney","carcinoma","female","63","","KIRC"
"KPNRTBM1_AUTONOMIC_GANGLIA","ACH-000345","KP-N-RT-BM-1","metastasis","autonomic_ganglia","neuroblastoma","","missing info","bone_marrow","NB"
"BICR18_UPPER_AERODIGESTIVE_TRACT","ACH-000992","BICR 18","primary","upper_aerodigestive_tract","carcinoma","male","missing info","","HNSC"
"TE4_OESOPHAGUS","ACH-000917","TE-4","primary","oesophagus","carcinoma","","missing info","","ESCA"
"ECC10_STOMACH","ACH-000560","ECC10","metastasis","stomach","carcinoma","","missing info","liver","STAD"
"TUHR14TKB_KIDNEY","ACH-000317","TUHR14TKB","primary","kidney","carcinoma","","missing info","","KIRC"
"YD15_SALIVARY_GLAND","ACH-000836","YD-15","primary","salivary_gland","carcinoma","male","39","","HNSC"
"UBLC1_URINARY_TRACT","ACH-000741","U-BLC1","primary","urinary_tract","carcinoma","female","missing info","","BLCA"
"ECGI10_OESOPHAGUS","ACH-000305","EC-GI-10","primary","oesophagus","carcinoma","male","65","","ESCA"
"CW2_LARGE_INTESTINE","ACH-000998","CW-2","primary","large_intestine","carcinoma","female","55","","COAD/READ"
"SNU761_LIVER","ACH-000537","SNU-761","primary","liver","carcinoma","male","49","","LIHC"
"SNU61_LARGE_INTESTINE","ACH-000532","SNU-61","primary","large_intestine","carcinoma","male","48","","COAD/READ"
"NCIH1915_LUNG","ACH-000434","NCI-H1915","metastasis","lung","carcinoma","female","61","brain","missing info"
"SNU324_PANCREAS","ACH-000933","SNU-324","primary","pancreas","carcinoma","male","50","","PAAD"
"YD10B_UPPER_AERODIGESTIVE_TRACT","ACH-000723","YD-10B","primary","upper_aerodigestive_tract","carcinoma","male","67","","HNSC"
"HCC2279_LUNG","ACH-000731","HCC-2279","primary","lung","carcinoma","female","52","","LUAD"
"TUHR10TKB_KIDNEY","ACH-000459","TUHR10TKB","primary","kidney","carcinoma","","missing info","","KIRC"
"HEC1B_ENDOMETRIUM","ACH-000941","HEC-1-B","primary","endometrium","carcinoma","female","71","","UCEC"
"TGBC11TKB_STOMACH","ACH-000949","TGBC11TKB","metastasis","stomach","carcinoma","female","missing info","lymph_node","STAD"
"OVK18_OVARY","ACH-000947","OVK18","primary","ovary","carcinoma","female","missing info","","OV"
"SNU1077_ENDOMETRIUM","ACH-000302","SNU-1077","primary","endometrium","carcinoma","female","60","","UCEC"
"HCC1588_LUNG","ACH-001078","HCC-1588","primary","lung","carcinoma","female","63","","COAD/READ"
"SNU213_PANCREAS","ACH-000266","SNU-213","primary","pancreas","carcinoma","male","65","","PAAD"
"HT115_LARGE_INTESTINE","ACH-000986","HT115","primary","large_intestine","carcinoma","","missing info","","COAD/READ"
"TE14_OESOPHAGUS","ACH-000726","TE-14","primary","oesophagus","carcinoma","","missing info","","ESCA"
"TE8_OESOPHAGUS","ACH-000452","TE-8","primary","oesophagus","carcinoma","","missing info","","ESCA"
"SNU520_STOMACH","ACH-000908","SNU-520","primary","stomach","carcinoma","female","60","","STAD"
"JHUEM3_ENDOMETRIUM","ACH-000173","JHUEM-3","primary","endometrium","carcinoma","","missing info","","UCEC"
"LI7_LIVER","ACH-000471","Li-7","primary","liver","carcinoma","","missing info","","LIHC"
"NCIH838_LUNG","ACH-000416","NCI-H838","metastasis","lung","carcinoma","male","59","lymph_node","LUAD"
"SNU119_OVARY","ACH-000635","SNU-119","primary","ovary","carcinoma","female","50","","OV"
"SNU1033_LARGE_INTESTINE","ACH-000286","SNU-1033","primary","large_intestine","carcinoma","female","45","","COAD/READ"
"SNUC5_LARGE_INTESTINE","ACH-000970","SNU-C5","primary","large_intestine","carcinoma","female","77","","COAD/READ"
"GSS_STOMACH","ACH-000746","GSS","metastasis","stomach","carcinoma","","missing info","liver","STAD"
"TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000197","TALL-1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","28","","ALL"
"HCC1171_LUNG","ACH-000578","HCC-1171","primary","lung","carcinoma","male","58","","missing info"
"SNUC4_LARGE_INTESTINE","ACH-000959","SNU-C4","primary","large_intestine","carcinoma","male","35","","COAD/READ"
"SNU620_STOMACH","ACH-000325","SNU-620","metastasis","stomach","carcinoma","female","59","ascites","STAD"
"ECC12_STOMACH","ACH-000225","ECC12","metastasis","stomach","carcinoma","male","63","NS","STAD"
"GSU_STOMACH","ACH-000485","GSU","metastasis","stomach","carcinoma","","missing info","ascites","STAD"
"KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000658","KMS-18","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","","missing info","","MM"
"JHOM2B_OVARY","ACH-000333","JHOM-2B","primary","ovary","carcinoma","female","missing info","","OV"
"MDAMB231_BREAST","ACH-000768","MDA-MB-231","metastasis","breast","carcinoma","female","51","pleura","BRCA"
"OV90_OVARY","ACH-000291","OV-90","metastasis","ovary","carcinoma","female","64","ascites","OV"
"RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000874","RS4;11","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","32","","ALL"
"OVTOKO_OVARY","ACH-000663","OVTOKO","metastasis","ovary","carcinoma","female","78","spleen","OV"
"OVCAR4_OVARY","ACH-000617","OVCAR-4","primary","ovary","carcinoma","female","42","","OV"
"HLF_LIVER","ACH-000393","HLF","primary","liver","carcinoma","male","69","","LIHC"
"HCT15_LARGE_INTESTINE","ACH-000997","HCT-15","primary","large_intestine","carcinoma","male","missing info","","COAD/READ"
"SW1463_LARGE_INTESTINE","ACH-000470","SW1463","primary","large_intestine","carcinoma","female","66","","COAD/READ"
"SF295_CENTRAL_NERVOUS_SYSTEM","ACH-000376","SF-295","primary","central_nervous_system","glioma","female","67","","GBM"
"WM115_SKIN","ACH-000304","WM-115","primary","skin","malignant_melanoma","female","59","","SKCM"
"JHH4_LIVER","ACH-000476","JHH-4","primary","liver","carcinoma","male","51","","LIHC"
"OE33_OESOPHAGUS","ACH-000383","OE33","primary","oesophagus","other","female","73","","ESCA"
"CCK81_LARGE_INTESTINE","ACH-000963","CCK-81","primary","large_intestine","carcinoma","","missing info","","COAD/READ"
"JHH1_LIVER","ACH-000620","JHH-1","primary","liver","carcinoma","male","50","","LIHC"
"SJSA1_BONE","ACH-000748","SJSA-1","primary","bone","osteosarcoma","male","19","","SARC"
"NCIH2228_LUNG","ACH-000447","NCI-H2228","primary","lung","carcinoma","female","missing info","","LUAD"
"RERFLCAI_LUNG","ACH-000261","RERF-LC-AI","primary","lung","carcinoma","","missing info","","LUSC"
"SKMES1_LUNG","ACH-000665","SK-MES-1","metastasis","lung","carcinoma","male","65","pleura","LUSC"
"NCIH520_LUNG","ACH-000395","NCI-H520","primary","lung","carcinoma","male","missing info","","LUSC"
"JHH5_LIVER","ACH-000734","JHH-5","primary","liver","carcinoma","male","50","","LIHC"
"FU97_STOMACH","ACH-000633","FU97","primary","stomach","carcinoma","female","66","","STAD"
"COLO800_SKIN","ACH-000401","COLO-800","primary","skin","malignant_melanoma","male","14","","SKCM"
"NCIH1963_LUNG","ACH-000729","NCI-H1963","primary","lung","carcinoma","male","56","","SCLC"
"RL952_ENDOMETRIUM","ACH-000965","RL95-2","primary","endometrium","carcinoma","female","65","","UCEC"
"J82_URINARY_TRACT","ACH-000396","J82","primary","urinary_tract","carcinoma","male","58","","BLCA"
"HCC15_LUNG","ACH-000878","HCC-15","primary","lung","carcinoma","male","47","","LUSC"
"M059K_CENTRAL_NERVOUS_SYSTEM","ACH-000152","M059K","primary","central_nervous_system","glioma","male","33","","GBM"
"CALU6_LUNG","ACH-000264","Calu-6","primary","lung","carcinoma","female","61","","LUAD"
"SKLU1_LUNG","ACH-000309","SK-LU-1","primary","lung","carcinoma","female","60","","LUAD"
"SW900_LUNG","ACH-000669","SW 900","primary","lung","carcinoma","male","53","","LUSC"
"UACC62_SKIN","ACH-000425","UACC-62","primary","skin","malignant_melanoma","","missing info","","SKCM"
"MFE280_ENDOMETRIUM","ACH-000192","MFE-280","primary","endometrium","carcinoma","female","77","","UCEC"
"MFE319_ENDOMETRIUM","ACH-000988","MFE-319","primary","endometrium","carcinoma","female","81","","UCEC"
"MFE296_ENDOMETRIUM","ACH-000879","MFE-296","primary","endometrium","carcinoma","female","68","","UCEC"
"GOS3_CENTRAL_NERVOUS_SYSTEM","ACH-000027","GOS-3","primary","central_nervous_system","glioma","male","55","","missing info"
"GI1_CENTRAL_NERVOUS_SYSTEM","ACH-000756","GI-1","primary","central_nervous_system","glioma","male","61","","LGG"
"PC14_LUNG","ACH-000030","PC-14","primary","lung","carcinoma","","missing info","","LUAD"
"KYSE410_OESOPHAGUS","ACH-000809","KYSE-410","primary","oesophagus","carcinoma","male","51","","ESCA"
"A204_SOFT_TISSUE","ACH-000201","A-204","primary","soft_tissue","rhabdoid_tumour","female","1","","SARC"
"PATU8902_PANCREAS","ACH-000599","PA-TU-8902","primary","pancreas","carcinoma","female","44","","PAAD"
"NCIH810_LUNG","ACH-000789","NCI-H810","primary","lung","carcinoma","male","51","","missing info"
"RERFLCMS_LUNG","ACH-000062","RERF-LC-MS","primary","lung","carcinoma","","missing info","","LUAD"
"L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000702","L-1236","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","34","","missing info"
"DANG_PANCREAS","ACH-000243","DAN-G","primary","pancreas","carcinoma","","missing info","","PAAD"
"NCIH460_LUNG","ACH-000463","NCI-H460","metastasis","lung","carcinoma","male","missing info","pleura","missing info"
"KYSE140_OESOPHAGUS","ACH-000823","KYSE-140","primary","oesophagus","carcinoma","male","54","","ESCA"
"KYSE180_OESOPHAGUS","ACH-000693","KYSE-180","primary","oesophagus","carcinoma","male","53","","ESCA"
"HUPT3_PANCREAS","ACH-000118","HUP-T3","metastasis","pancreas","carcinoma","male","66","ascites","PAAD"
"EFE184_ENDOMETRIUM","ACH-000435","EFE-184","metastasis","endometrium","carcinoma","female","69","ascites","UCEC"
"GCIY_STOMACH","ACH-000047","GCIY","primary","stomach","carcinoma","female","missing info","","STAD"
"SH10TC_STOMACH","ACH-000764","SH-10-TC","primary","stomach","carcinoma","","missing info","","STAD"
"CAOV4_OVARY","ACH-000103","Caov-4","metastasis","ovary","carcinoma","female","45","NS","OV"
"HCC2218_BREAST","ACH-000755","HCC2218","primary","breast","carcinoma","female","38","","BRCA"
"KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000598","KMS-21BM","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","62","","MM"
"KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000588","KMS-26","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","50","","MM"
"KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000576","KMS-27","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","52","","MM"
"KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000498","KO52","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","male","46","","LAML"
"KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000419","KMS-28BM","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","77","","MM"
"KNS60_CENTRAL_NERVOUS_SYSTEM","ACH-000445","KNS-60","primary","central_nervous_system","glioma","male","55","","GBM"
"KNS81_CENTRAL_NERVOUS_SYSTEM","ACH-000479","KNS-81","primary","central_nervous_system","glioma","male","65","","GBM"
"KPNSI9S_AUTONOMIC_GANGLIA","ACH-000446","KP-N-SI9s","metastasis","autonomic_ganglia","neuroblastoma","","missing info","lymph_node","NB"
"LU99_LUNG","ACH-000444","LU99","metastasis","lung","carcinoma","male","63","","missing info"
"KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000541","KMS-34","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","60","","MM"
"MKN1_STOMACH","ACH-000351","MKN1","metastasis","stomach","carcinoma","male","72","lymph_node","STAD"
"MKN74_STOMACH","ACH-000758","MKN74","metastasis","stomach","carcinoma","male","37","liver","STAD"
"KP3_PANCREAS","ACH-000108","KP-3","metastasis","pancreas","carcinoma","male","75","liver","UNABLE TO CLASSIFY"
"NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000076","NCO2","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","female","35","","LCML"
"KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000564","KHM-1B","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","53","","MM"
"HSC2_UPPER_AERODIGESTIVE_TRACT","ACH-000472","HSC-2","primary","upper_aerodigestive_tract","carcinoma","male","69","","HNSC"
"KG1C_CENTRAL_NERVOUS_SYSTEM","ACH-000126","KG-1-C","primary","central_nervous_system","glioma","male","13","","GBM"
"HUH7_LIVER","ACH-000480","HuH-7","primary","liver","carcinoma","male","57","","LIHC"
"KMBC2_URINARY_TRACT","ACH-000862","KMBC-2","primary","urinary_tract","carcinoma","","missing info","","BLCA"
"KMRC20_KIDNEY","ACH-000250","KMRC-20","primary","kidney","carcinoma","","missing info","","KIRC"
"HUCCT1_BILIARY_TRACT","ACH-000976","HuCCT1","primary","biliary_tract","carcinoma","male","missing info","","missing info"
"KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000773","Ki-JK","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","15","","missing info"
